mlb_id,mlb_name,mlb_pos,mlb_team,bats,throws,birth_year,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_position,davenport_id,espn_id,espn_name,espn_pos,fg_id,fg_name,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retrosheet_id,retrosheet_name,debut,yahoo_id,yahoo_name,yahoo_pos,mlb_depth
592091,A.J. Achter,P,MIN,R,R,1988,66919,achteaj01,A.J. Achter,2146207,A.J. Achter,RP,,33637,A.J. Achter,RP,11387,A.J. Achter,achteaj01,9824,A.J. Achter,P,achta001,A.J. Achter,9/3/2014,9824,A.J. Achter,RP,
150359,A.J. Burnett,P,PIT,R,R,1977,493,burnea.01,A.J. Burnett,21508,A.J. Burnett,SP,BURNETT19770103A,4153,A.J. Burnett,SP,512,A.J. Burnett,burneaj01,6314,A.J. Burnett,P,burna001,A.J. Burnett,8/17/1999,6314,A.J. Burnett,SP,SP3
595918,A.J. Cole,P,WSH,R,R,1992,68086,coleaj01,A.J. Cole,1839916,A.J. Cole,SP,,31595,A.J. Cole,SP,11467,A.J. Cole,,9638,A.J. Cole,P,,,,9638,A.J. Cole,SP,SP5
454560,A.J. Ellis,C,LAD,R,R,1981,47564,ellisaj01,A.J. Ellis,1104367,A.J. Ellis,C,ELLIS19810409A,29258,A.J. Ellis,C,5677,A.J. Ellis,ellisaj01,8373,A.J. Ellis,C,ellia001,A.J. Ellis,9/15/2008,8373,A.J. Ellis,C,C2
456167,A.J. Griffin,P,OAK,R,R,1988,65757,griffaj01,A.J. Griffin,1974327,A.J. Griffin,SP,GRIFFIN19880128A,32559,A.J. Griffin,SP,11132,A.J. Griffin,griffaj01,9220,A.J. Griffin,P,grifa002,A.J. Griffin,6/24/2012,9220,A.J. Griffin,SP,
543362,A.J. Jimenez,C,TOR,R,R,1990,58320,,,1798970,A.J. Jimenez,C,JIMENEZ19900501A,31050,A.J. Jimenez,C,sa454887,A.J. Jimenez,,,,,,,,,,,
150229,A.J. Pierzynski,C,ATL,L,R,1976,1501,pierza.01,A.J. Pierzynski,18720,A.J. Pierzynski,C,PIERZYNSK19761230A,3948,A.J. Pierzynski,C,746,A.J. Pierzynski,pierzaj01,6109,A.J. Pierzynski,C,piera001,A.J. Pierzynski,9/9/1998,6109,A.J. Pierzynski,C,C1
572041,A.J. Pollock,CF,ARI,R,R,1987,60932,polloaj01,A.J. Pollock,1740992,A.J. Pollock,CF,POLLOCK19871205A,30699,A.J. Pollock,CF,9256,A.J. Pollock,polloaj01,9157,A.J. Pollock,CF,polla001,A.J. Pollock,4/18/2012,9157,A.J. Pollock,CF,CF1
573109,A.J. Ramos,P,MIA,R,R,1986,60504,ramosaj01,A.J. Ramos,1945284,A.J. Ramos,RP,RAMOS19860920A,32104,A.J. Ramos,RP,8350,A.J. Ramos,ramosaj01,9298,A.J. Ramos,P,ramoa001,A.J. Ramos,9/4/2012,9298,A.J. Ramos,RP,RP2
519263,A.J. Schugel,P,ARI,R,R,1989,65910,schugaj01,A.J. Schugel,1953535,A.J. Schugel,RP,,32202,A.J. Schugel,RP,11432,Andrew Schugel,,9927,A.J. Schugel,P,,,,9927,A.J. Schugel,RP,
